股票代码,公司名称,行业,会计年度,营业收入,营业成本,销售费用,管理费用,研发费用,财务费用,资产减值损失,营业利润,利润总额,所得税费用,净利润,归母净利润,货币资金,应收账款,存货,流动资产合计,固定资产,无形资产,非流动资产合计,资产总计,短期借款,应付账款,流动负债合计,长期借款,非流动负债合计,负债合计,所有者权益合计,归母股东权益,经营活动现金流净额,投资活动现金流净额,筹资活动现金流净额,现金及等价物净增加额
00080051,消费品第052号公司,消费品,2020,29.54,20.05,2.2,1.81,0.57,0.49,0.31,4.1,3.94,0.99,2.94,0.89,8.85,4.32,4.77,18.76,9.24,3.84,16.75,35.5,3.48,3.94,6.77,4.54,4.33,11.09,24.41,24.11,3.38,-2.36,-1.05,-0.03
00080051,消费品第052号公司,消费品,2021,12.12,23.62,1.57,1.46,0.53,0.86,0.42,1.33,1.29,0.35,0.94,0.78,6.01,3.47,5.2,17.56,9.84,1.57,13.65,31.21,6.24,2.36,5.73,6.92,4.02,9.75,21.46,20.93,2.07,-2.54,-0.04,-0.51
00080051,消费品第052号公司,消费品,2022,29.03,22.28,1.29,2.29,0.52,0.23,0.13,1.98,1.98,0.28,1.48,1.38,3.0,3.12,3.48,11.58,6.71,1.77,11.61,23.2,2.63,2.13,4.91,2.32,2.33,7.25,15.95,14.12,1.14,-2.07,0.82,-0.11
00080051,消费品第052号公司,消费品,2023,30.26,19.29,1.99,2.49,0.63,0.16,0.5,5.19,4.94,1.13,3.81,3.32,5.81,2.41,4.32,14.08,11.6,2.06,15.64,29.72,5.42,3.22,6.26,2.95,3.03,9.28,15.95,18.06,5.79,-1.78,1.26,5.27
00080052,消费品第053号公司,消费品,2019,20.11,16.53,1.24,0.91,0.61,0.38,0.04,0.4,0.41,0.1,0.31,0.28,4.07,2.62,1.77,8.92,2.89,1.38,5.74,14.66,1.14,2.74,4.12,2.86,2.64,6.76,7.9,6.87,-0.24,-0.74,-0.53,-1.51
00080052,消费品第053号公司,消费品,2020,19.47,14.74,1.1,1.33,0.59,0.18,0.19,1.34,1.36,0.32,1.03,0.89,3.3,1.73,2.25,8.59,6.76,1.06,5.74,17.38,2.09,1.94,4.4,3.99,3.61,8.01,9.37,8.59,1.83,-0.64,-1.1,0.09
00080052,消费品第053号公司,消费品,2021,24.44,15.82,1.67,1.0,,0.55,-0.01,4.77,4.58,1.21,3.36,2.81,3.27,3.39,3.5,11.54,5.31,2.81,9.81,21.34,2.53,3.28,7.6,1.29,2.24,9.84,11.5,10.92,3.97,-1.4,-0.74,1.83
00080052,消费品第053号公司,消费品,2022,22.91,9.02,0.65,1.3,0.57,0.23,0.01,0.89,0.89,0.22,0.66,0.57,2.28,4.4,5.59,13.89,4.27,2.54,7.56,21.45,1.54,1.43,5.92,1.48,3.97,9.89,11.56,10.44,0.11,,-0.28,-0.78
00080052,消费品第053号公司,消费品,2023,26.47,19.41,0.95,2.38,0.76,0.37,-0.16,2.76,2.77,0.72,2.05,1.88,5.6,2.95,5.34,15.91,8.19,2.43,12.92,28.83,2.07,2.98,9.4,1.62,3.89,13.29,15.54,13.3,1.49,-0.88,0.53,1.14
00080053,消费品第054号公司,消费品,2019,10.65,7.85,0.29,0.66,0.25,0.21,0.13,1.26,1.25,0.29,0.96,0.9,0.96,0.6,2.27,4.29,3.73,0.34,4.53,8.82,0.58,1.34,2.57,2.2,2.07,4.64,3.91,3.63,0.34,-0.47,-0.44,-0.58
00080053,消费品第054号公司,消费品,2020,11.51,9.09,0.75,0.83,0.29,0.16,0.13,0.25,0.26,0.07,0.19,0.16,1.67,0.81,1.58,4.7,2.23,0.73,3.55,8.24,0.55,1.09,2.24,1.86,2.1,4.34,3.91,3.63,0.13,-0.14,-0.21,-0.21
00080053,消费品第054号公司,消费品,2021,12.02,8.68,0.5,0.39,0.29,0.26,0.22,1.69,1.68,0.38,1.3,1.21,1.56,1.02,1.15,4.75,3.17,0.79,4.95,9.7,1.8,1.21,4.24,0.51,0.87,5.11,4.6,4.49,1.03,-0.35,0.89,1.58
00080053,消费品第054号公司,消费品,2022,10.92,8.52,0.39,0.57,,0.13,-0.02,1.08,1.21,0.23,0.8,0.74,1.06,1.2,1.65,4.3,2.81,0.77,4.41,8.71,0.54,1.21,3.22,0.47,1.37,4.59,4.13,4.01,0.97,-0.44,1.31,1.83
00080053,消费品第054号公司,消费品,2023,11.87,6.97,0.7,0.53,0.31,0.16,0.13,3.06,3.09,0.84,2.24,1.84,1.7,1.45,1.8,5.63,3.9,1.02,5.53,11.17,1.72,1.21,4.77,0.61,1.1,5.88,5.29,4.53,,-0.72,-0.37,1.72
00080054,消费品第055号公司,消费品,2019,4.73,3.49,0.2,0.22,0.17,0.1,0.05,0.5,0.51,0.11,0.39,0.31,0.9,0.28,0.72,2.15,0.96,0.53,1.63,3.79,0.56,0.3,1.14,0.41,0.56,1.7,2.08,2.07,0.23,-0.08,0.04,0.19
00080054,消费品第055号公司,消费品,2020,5.18,2.85,0.3,0.48,0.18,0.19,0.01,1.23,1.27,0.29,0.98,0.91,1.08,0.5,0.69,2.57,0.96,0.21,1.63,4.77,0.53,0.47,1.28,0.8,0.86,2.15,2.63,2.31,1.05,-0.25,-0.22,0.59
00080054,消费品第055号公司,消费品,2021,5.39,3.26,0.35,0.19,0.2,0.03,0.08,1.27,1.22,0.32,0.9,0.76,0.71,0.78,0.71,2.64,1.99,0.21,2.91,5.55,0.93,0.76,1.54,1.1,0.96,2.49,3.05,2.71,0.91,-0.33,-0.34,0.23
00080054,消费品第055号公司,消费品,2022,5.38,3.45,0.17,0.29,0.2,0.05,0.08,1.14,1.15,0.28,0.87,0.71,0.73,0.32,0.95,2.29,2.03,0.14,2.34,4.63,0.44,0.46,1.69,0.24,0.39,2.08,2.55,2.49,0.8,-0.27,0.12,0.65
00080054,消费品第055号公司,消费品,2023,5.26,3.66,0.22,0.41,0.18,0.05,-0.03,0.78,0.78,0.2,0.58,0.48,1.0,0.31,0.89,2.36,1.89,0.32,2.64,5.0,0.42,0.41,1.29,0.47,0.95,2.25,2.75,2.35,0.6,-0.33,0.48,0.75
00080055,消费品第056号公司,消费品,2019,32.35,22.95,2.45,3.05,0.57,0.25,0.32,2.74,2.62,0.67,1.95,1.8,8.29,3.62,3.27,17.85,12.57,2.37,15.91,33.77,4.18,4.78,12.94,3.01,4.48,17.42,16.34,14.73,2.43,-1.76,-0.16,0.52
00080055,消费品第056号公司,消费品,2020,30.32,17.37,0.72,3.02,0.67,0.59,0.04,7.9,7.54,1.97,5.57,4.77,3.97,3.62,3.37,13.22,14.81,4.5,22.62,35.84,4.09,2.95,9.98,8.96,8.51,18.49,17.35,16.55,5.36,-2.36,1.52,4.51
00080055,消费品第056号公司,消费品,2021,31.58,17.64,1.04,3.01,0.62,0.2,0.08,8.39,8.17,1.89,6.29,5.62,6.04,3.2,3.87,16.36,10.99,4.5,19.2,35.57,2.76,4.14,13.51,1.87,8.51,18.35,17.22,16.68,5.78,-1.49,2.89,7.18
00080055,消费品第056号公司,消费品,2022,30.93,21.02,1.62,3.0,0.61,0.61,-0.07,4.14,4.06,0.94,3.11,2.97,5.44,3.47,6.09,19.06,13.96,3.23,18.61,37.67,3.4,2.29,12.12,4.38,7.32,19.43,18.23,16.3,2.16,-2.1,-1.34,-1.27
00080055,消费品第056号公司,消费品,2023,32.02,19.89,0.98,2.67,0.59,0.39,0.23,7.26,7.04,1.81,5.23,4.22,3.53,2.83,5.01,15.52,8.34,5.14,17.82,33.35,4.28,2.76,10.4,6.93,6.8,17.21,16.14,15.17,6.33,-2.33,-0.91,3.09
00080056,消费品第057号公司,消费品,2019,13.29,9.75,0.84,0.99,0.27,0.21,0.07,1.15,1.09,0.25,0.84,0.81,1.08,2.07,2.51,6.49,3.36,1.14,5.15,11.64,0.66,1.11,2.92,1.09,1.93,4.85,6.79,6.05,0.77,-0.6,-0.73,-0.55
00080056,消费品第057号公司,消费品,2020,12.62,9.67,0.42,0.58,0.31,0.26,0.16,1.23,1.27,0.34,0.94,0.8,1.6,2.1,1.19,5.3,1.94,0.71,3.05,8.35,1.18,1.04,2.46,0.59,1.93,3.48,4.87,4.38,0.83,-0.49,0.58,0.92
00080056,消费品第057号公司,消费品,2021,13.78,9.65,0.37,0.74,0.27,0.12,0.17,2.46,2.46,0.65,1.81,1.75,1.6,0.92,2.74,6.93,2.91,0.31,3.72,10.65,1.6,0.82,2.64,1.76,1.79,4.43,6.21,5.58,1.68,-0.41,-0.98,0.29
00080056,消费品第057号公司,消费品,2022,15.1,9.02,0.84,1.05,0.28,0.26,0.11,0.22,0.21,0.05,0.16,0.15,2.16,1.55,3.0,7.57,2.09,0.38,3.17,10.74,2.06,0.87,2.82,1.62,1.65,4.47,6.27,6.12,-0.11,-0.21,-0.31,-0.63
00080056,消费品第057号公司,消费品,2023,14.65,9.59,0.67,1.06,0.32,0.11,0.2,2.7,2.59,0.6,1.98,1.7,2.54,1.88,2.19,7.82,4.04,0.86,5.82,13.64,2.57,1.32,3.69,1.85,1.99,5.68,7.96,7.2,1.9,-0.43,0.05,1.53
00080057,消费品第058号公司,消费品,2019,4.97,3.98,0.16,0.18,0.1,0.15,0.06,0.35,0.33,0.09,0.24,0.22,1.26,0.32,1.06,2.89,1.76,0.48,2.57,5.47,0.98,0.66,1.66,0.48,0.57,2.23,3.24,3.23,0.05,-0.15,0.22,0.12
00080057,消费品第058号公司,消费品,2020,4.98,3.17,0.27,0.49,0.12,0.07,-0.05,0.9,0.88,0.23,0.65,0.55,0.96,0.6,0.63,2.38,2.12,0.22,2.66,5.04,0.45,0.5,1.18,0.84,0.88,2.06,2.99,2.71,0.69,-0.26,-0.08,0.35
00080057,消费品第058号公司,消费品,2021,4.48,3.09,0.33,0.21,0.09,0.07,0.04,0.65,0.62,0.15,0.47,0.44,1.17,0.38,0.82,2.57,1.43,0.17,1.81,4.38,0.54,0.24,1.37,0.29,0.42,1.79,2.59,2.71,0.45,-0.05,-0.2,0.21
00080057,消费品第058号公司,消费品,2022,4.52,3.6,0.17,0.16,0.09,0.07,-0.02,0.44,0.45,0.11,0.34,0.34,0.87,0.55,0.96,2.57,1.07,0.56,2.1,4.67,0.49,0.41,0.9,0.96,1.0,1.9,2.77,2.76,0.39,-0.25,-0.03,0.11
00080057,消费品第058号公司,消费品,2023,5.16,2.95,0.33,0.27,0.1,0.05,0.1,1.36,1.35,0.32,1.03,0.91,1.5,0.38,0.77,3.14,0.97,0.49,1.8,4.94,0.92,0.76,1.53,0.4,0.48,2.01,2.93,2.54,0.95,-0.36,-0.5,0.08
00080058,消费品第059号公司,消费品,2019,9.11,6.0,0.37,0.56,0.29,0.24,0.17,1.48,1.53,0.38,1.15,0.97,2.01,1.33,1.05,5.2,1.68,0.72,3.13,8.34,0.79,0.84,2.37,0.6,1.08,3.44,4.89,4.83,1.29,-0.7,0.11,0.71
00080058,消费品第059号公司,消费品,2020,9.3,6.52,0.27,0.38,0.23,0.22,0.06,1.62,1.55,0.4,1.15,1.14,1.27,0.59,1.94,4.24,3.81,1.08,5.19,9.43,0.96,0.85,2.53,1.02,1.37,3.9,5.54,4.84,,-0.37,0.53,1.64
00080058,消费品第059号公司,消费品,2021,10.06,8.46,0.76,0.41,0.36,0.2,-0.09,-0.05,-0.05,0.0,-0.05,-0.04,2.09,0.76,1.26,4.4,4.46,0.91,5.79,10.19,0.55,1.31,2.77,1.11,1.44,4.21,5.98,5.33,0.37,-0.31,-0.34,-0.28
00080058,消费品第059号公司,消费品,2022,9.14,9.02,0.47,0.79,0.37,0.09,0.02,-0.17,-0.17,0.0,-0.17,-0.15,1.36,1.09,1.11,4.34,2.88,1.11,4.45,8.79,1.51,0.56,2.14,1.43,1.49,3.63,5.16,4.42,-0.39,-0.65,0.62,-0.42
00080058,消费品第059号公司,消费品,2023,9.87,5.96,0.54,0.92,0.34,0.18,-0.04,1.97,1.97,0.45,1.52,1.25,2.28,1.74,0.82,5.1,4.39,0.42,4.45,10.52,0.53,1.13,2.77,0.98,1.57,4.35,6.18,5.39,2.05,-0.26,-0.82,0.97
00080059,消费品第060号公司,消费品,2019,7.78,5.36,0.16,0.36,0.1,0.1,0.07,1.62,1.69,0.43,1.25,1.24,0.73,1.14,1.6,3.96,1.9,0.24,2.31,6.28,0.73,1.0,2.04,1.15,1.24,3.28,2.99,2.76,1.24,-0.05,0.14,1.34
00080059,消费品第060号公司,消费品,2020,8.34,5.25,0.52,0.68,0.11,0.19,-0.03,1.61,1.66,0.41,0.97,1.17,1.75,1.59,1.55,5.38,1.67,0.29,2.21,7.59,0.59,0.59,2.25,1.38,1.72,3.97,3.62,3.39,1.66,-0.35,0.43,1.73
00080059,消费品第060号公司,消费品,2021,8.24,6.61,0.48,0.43,0.09,0.14,0.15,0.34,0.32,0.08,1.0950000000000002,0.22,1.09,0.94,1.77,4.36,2.58,0.74,3.84,8.2,1.22,1.16,2.83,1.31,1.46,4.29,3.91,3.73,0.55,-0.46,0.56,0.65
00080059,消费品第060号公司,消费品,2022,9.24,6.1,0.6,0.64,0.12,0.13,-0.08,1.73,1.76,0.42,1.34,1.24,0.74,0.84,0.84,2.73,2.88,0.73,4.04,6.77,1.01,1.07,2.14,1.55,1.4,3.54,3.23,3.12,1.67,-0.38,-0.24,1.05
00080059,消费品第060号公司,消费品,2023,9.11,5.61,0.61,0.84,0.11,0.05,0.08,1.82,1.86,0.47,1.51,1.31,1.18,1.25,1.61,4.36,1.59,0.28,2.08,6.44,0.68,1.2,2.7,0.49,0.67,3.37,3.07,2.89,1.29,-0.37,0.21,1.13
00080060,消费品第061号公司,消费品,2019,115.37,84.31,8.28,5.55,3.74,2.77,-0.2,10.92,10.76,2.91,7.85,7.03,24.12,10.92,17.57,63.12,26.65,8.41,45.4,108.51,10.8,12.52,26.93,6.02,8.59,35.52,73.0,62.47,4.71,-5.67,9.18,8.21
00080060,消费品第061号公司,消费品,2020,124.36,96.99,4.01,11.88,3.87,1.31,1.86,4.43,4.34,1.08,3.26,2.96,16.9,18.72,20.38,62.52,33.64,4.16,47.72,110.25,20.94,16.38,25.3,18.85,10.79,36.09,73.0,65.83,-1.91,-7.3,-2.14,-11.35
00080060,消费品第061号公司,消费品,2021,124.19,69.46,9.51,11.67,3.71,1.75,1.92,26.18,27.13,7.36,19.78,19.71,10.99,15.29,16.75,46.84,47.18,18.37,68.46,115.3,17.79,11.69,19.28,26.58,18.45,37.74,77.56,77.33,24.8,-6.99,-6.67,11.14
00080060,消费品第061号公司,消费品,2022,123.62,86.1,5.49,11.36,3.52,1.38,1.71,14.06,13.86,3.7,10.15,8.99,20.62,22.9,8.96,62.7,54.03,8.77,74.38,137.08,20.58,17.04,30.77,26.58,14.1,44.87,92.21,85.06,16.08,-3.48,-2.53,10.07
00080060,消费品第061号公司,消费品,2023,113.02,86.99,8.98,7.01,3.19,1.12,1.84,3.89,4.05,1.08,2.97,2.82,22.83,19.32,16.3,65.58,24.03,12.23,43.46,109.04,16.57,11.22,22.23,16.86,13.46,35.69,73.35,66.58,3.42,-4.42,2.4,1.4
00080061,消费品第062号公司,消费品,2019,7.03,3.98,0.41,0.25,0.24,0.04,0.02,2.08,2.1,0.5,1.6,1.39,0.89,0.97,0.45,2.63,1.32,0.36,2.14,4.77,0.54,0.55,1.74,0.46,0.74,2.48,2.29,2.26,1.4,-0.17,-0.52,0.71
00080061,消费品第062号公司,消费品,2020,7.37,4.38,0.59,0.48,0.24,0.17,0.08,1.44,1.44,0.33,1.07,0.99,0.71,0.94,0.96,3.01,1.88,0.36,2.41,5.41,0.44,0.55,1.47,1.21,1.35,2.82,2.6,2.54,1.05,-0.26,0.36,1.15
00080061,消费品第062号公司,消费品,2021,7.38,5.98,0.2,0.38,0.21,0.12,0.12,0.36,0.35,0.09,0.26,0.25,0.6,0.85,0.9,2.74,1.61,0.58,2.73,5.47,0.93,1.05,1.91,1.13,0.94,2.85,2.62,2.62,0.3,-0.43,0.43,0.29
00080061,消费品第062号公司,消费品,2022,7.65,5.59,0.37,0.56,0.23,0.1,0.08,0.72,0.69,0.17,0.52,0.47,1.83,0.61,0.86,3.49,1.34,0.63,2.67,6.16,0.85,0.84,1.9,1.33,1.31,3.2,2.95,2.68,0.49,-0.42,0.18,0.25
00080061,消费品第062号公司,消费品,2023,8.06,4.5,0.43,0.48,0.24,0.12,-0.04,2.34,2.33,0.48,1.71,1.52,1.15,0.4,0.65,2.41,2.73,0.2,3.09,5.5,0.97,0.89,1.91,0.89,0.96,2.86,2.64,2.54,1.83,-0.19,0.45,2.09
00080062,消费品第063号公司,消费品,2019,10.32,6.09,0.72,0.66,0.19,0.08,-0.08,2.66,2.64,0.65,1.98,1.78,1.82,1.79,1.66,6.02,4.07,1.08,6.17,12.19,0.72,1.54,3.35,2.03,2.58,5.93,6.26,6.2,2.81,-0.46,0.79,3.14
00080062,消费品第063号公司,消费品,2020,10.87,8.8,0.84,0.53,0.17,0.07,-0.08,0.53,0.56,0.14,0.42,0.34,2.29,1.23,0.99,5.8,4.07,1.16,5.78,11.58,1.39,1.37,3.44,1.93,2.19,5.63,5.95,5.6,0.27,-0.69,0.32,-0.1
00080062,消费品第063号公司,消费品,2021,11.73,7.01,0.75,0.57,0.18,0.09,0.09,3.04,3.17,0.76,2.4,2.29,3.54,0.8,1.97,7.25,4.07,1.06,5.78,13.03,0.93,1.39,3.86,1.93,2.48,6.34,6.69,5.6,2.71,-1.06,-0.49,1.16
00080062,消费品第063号公司,消费品,2022,10.77,6.32,0.78,0.63,0.17,0.13,0.1,2.62,2.51,0.6,1.9,1.65,1.44,0.76,1.05,3.77,3.93,1.02,5.99,9.76,0.69,1.12,2.67,1.56,2.08,4.74,5.01,4.87,1.69,-0.54,-0.35,0.81
00080062,消费品第063号公司,消费品,2023,10.16,6.33,0.26,0.54,0.16,0.19,0.055,2.81,2.95,0.75,1.51,1.81,1.44,1.35,1.32,4.26,4.7,0.39,6.09,10.35,1.29,1.26,2.8,2.1,2.23,5.03,5.32,5.04,2.3,-0.83,-0.37,1.1
00080063,消费品第064号公司,消费品,2019,13.6,9.4,1.07,0.5,0.31,0.09,0.16,2.06,2.06,0.52,1.54,1.38,1.52,0.77,1.75,4.81,4.86,1.24,6.61,11.42,0.88,0.75,3.95,0.73,2.15,6.1,5.32,4.65,1.23,-0.69,0.33,0.87
00080063,消费品第064号公司,消费品,2020,14.04,11.06,1.1,0.66,0.29,0.19,-0.06,0.81,0.81,0.22,0.59,0.56,1.17,1.54,2.71,6.48,4.47,0.35,5.66,12.14,2.26,1.53,4.44,1.6,2.04,6.48,5.65,5.0,0.55,-0.25,0.69,0.99
00080063,消费品第064号公司,消费品,2021,13.74,11.67,0.47,0.84,0.29,0.12,-0.13,0.47,0.45,0.11,0.34,0.33,3.2,1.54,1.76,7.85,5.25,1.43,7.77,15.63,2.98,0.75,4.2,3.55,4.14,8.35,7.28,7.26,0.37,-0.39,-0.24,-0.26
00080063,消费品第064号公司,消费品,2022,15.75,12.32,0.88,0.54,0.37,0.32,0.19,1.14,1.15,0.27,0.87,0.83,2.44,2.39,1.71,7.24,6.14,0.68,8.05,15.29,2.31,1.76,5.26,2.43,2.91,8.17,7.12,6.3,0.89,-0.84,-0.69,-0.64
00080063,消费品第064号公司,消费品,2023,15.76,12.61,0.78,0.76,0.42,0.21,0.28,0.68,0.71,0.19,0.53,0.43,1.69,2.32,3.41,8.3,3.17,0.78,4.39,12.69,0.64,1.24,3.08,2.58,3.7,6.78,5.91,5.63,0.76,-0.27,0.9,1.38
00080064,消费品第065号公司,消费品,2019,19.17,15.93,0.62,0.71,0.32,0.14,0.32,1.13,1.1,0.31,0.81,0.81,6.01,2.02,1.6,10.67,9.71,1.11,11.39,22.07,4.09,1.46,5.13,1.68,1.99,7.12,14.95,14.89,0.4,-0.65,1.03,0.78
00080064,消费品第065号公司,消费品,2020,17.02,9.92,0.91,0.84,0.31,0.43,-0.16,4.76,4.86,1.23,3.64,3.05,4.44,1.35,1.54,8.0,9.61,2.18,13.59,21.59,2.47,1.69,5.04,1.48,1.93,6.97,14.63,14.62,4.48,-0.94,0.41,3.95
00080064,消费品第065号公司,消费品,2021,18.48,12.01,0.53,1.51,0.34,0.5,0.2,3.1,3.03,0.73,2.31,2.25,2.46,2.73,1.86,8.61,11.95,1.74,14.84,23.46,3.39,1.01,4.28,4.2,3.29,7.57,15.89,15.82,2.98,-1.26,-0.68,
00080064,消费品第065号公司,消费品,2022,19.02,15.96,0.41,1.28,0.38,0.42,0.33,0.26,0.25,0.07,0.19,0.15,5.49,1.64,2.5,11.02,7.15,3.93,12.01,23.02,3.38,2.47,4.61,4.24,2.82,7.43,15.6,14.9,0.59,-1.5,0.83,-0.08
00080064,消费品第065号公司,消费品,2023,19.29,12.52,0.74,1.9,0.32,0.54,0.34,2.92,2.81,0.64,2.17,2.14,3.61,2.23,2.27,10.78,4.18,3.9,9.52,20.3,2.72,1.02,2.87,4.81,3.68,6.55,13.75,13.68,1.7,-1.33,1.65,2.02
00080065,消费品第066号公司,消费品,2019,5.68,8.53,0.2,0.44,0.07,0.08,-0.0,0.72,0.7,0.16,0.53,0.51,0.68,0.93,0.92,3.25,1.96,1.01,3.65,6.9,0.82,0.34,1.22,1.61,1.5,2.71,4.19,3.81,0.59,-0.33,0.21,0.46
00080065,消费品第066号公司,消费品,2020,5.82,3.27,0.33,0.46,0.08,0.05,0.01,1.61,1.56,0.43,1.13,1.11,0.78,0.93,0.58,2.39,1.41,0.51,2.12,4.51,0.49,0.31,1.0,0.89,0.77,1.77,2.74,2.33,1.28,-0.09,0.29,1.48
00080065,消费品第066号公司,消费品,2021,6.96,5.03,0.52,0.55,0.1,0.11,-0.02,0.67,0.7,0.17,0.53,0.44,1.54,1.18,1.47,4.64,3.65,0.63,4.88,9.53,1.06,0.43,2.41,1.15,1.33,3.75,5.78,5.01,0.73,-0.8,-0.02,-0.08
00080065,消费品第066号公司,消费品,2022,6.92,5.22,0.26,0.6,0.09,0.05,0.07,0.57,0.59,0.28,0.45,0.4,1.79,1.06,0.6,3.94,2.23,1.02,3.59,7.53,0.72,0.93,1.92,0.85,1.05,2.96,4.57,4.53,0.53,-0.39,-0.22,-0.07
00080065,消费品第066号公司,消费品,2023,13.485,3.83,0.18,0.32,0.08,0.14,0.02,2.22,2.15,0.48,1.58,1.47,2.03,1.24,1.09,5.15,1.82,0.91,3.36,8.51,0.53,0.56,2.05,0.87,1.3,3.35,5.16,4.8,1.46,-0.56,-0.51,0.38
00080066,消费品第067号公司,消费品,2019,12.96,8.25,0.72,0.9,0.12,0.26,0.23,2.48,2.52,0.31,1.88,1.56,3.47,0.78,1.83,6.98,4.98,1.98,7.4,14.38,1.22,0.91,2.82,3.37,3.38,6.21,8.17,7.48,2.2,-0.46,,3.01
00080066,消费品第067号公司,消费品,2020,13.92,8.69,0.81,0.63,0.15,0.11,0.04,3.44,3.36,0.8,2.55,2.13,1.96,2.34,1.46,7.16,3.16,1.98,5.56,12.72,2.21,1.15,4.42,0.94,1.07,5.49,7.23,7.15,2.56,-1.18,-0.35,1.04
00080066,消费品第067号公司,消费品,2021,14.12,10.7,1.11,1.06,0.14,0.3,0.13,1.3599999999999999,0.68,0.17,0.5,0.47,3.09,0.76,3.08,8.17,4.44,0.72,6.77,14.94,2.07,1.32,3.3,3.58,3.15,6.45,8.49,7.31,0.78,-0.34,-1.39,-0.95
00080066,消费品第067号公司,消费品,2022,15.08,9.46,0.47,0.57,0.16,0.3,0.28,3.84,3.94,0.94,3.0,2.44,3.85,1.26,1.17,7.64,5.54,0.56,6.92,14.56,2.16,1.67,3.58,3.06,2.71,6.29,8.28,7.97,4.33,-0.3,0.11,4.13
00080066,消费品第067号公司,消费品,2023,14.78,10.11,0.97,0.96,,0.3,0.13,2.14,2.19,0.56,1.63,1.57,1.53,1.82,1.32,6.4,5.26,1.56,8.34,14.74,1.58,2.09,3.62,3.06,2.74,6.36,8.38,8.31,1.59,-0.62,-0.46,0.51
00080067,消费品第068号公司,消费品,2019,8.19,6.08,0.63,0.32,0.1,0.23,-0.01,1.12,1.1,0.3,0.8,0.69,1.11,1.46,0.66,3.6,3.99,1.05,5.35,8.95,0.91,0.95,2.63,0.71,1.24,4.45,4.5,4.09,1.02,-0.66,-0.01,0.34
00080067,消费品第068号公司,消费品,2020,8.91,6.52,0.37,0.37,0.12,0.05,0.0,1.47,1.5,0.38,1.12,0.96,2.33,0.69,1.14,4.53,3.91,0.81,5.52,10.05,0.91,0.84,2.63,2.23,2.36,5.0,5.06,4.95,1.15,-0.59,-0.66,-0.11
00080067,消费品第068号公司,消费品,2021,8.19,6.56,0.27,0.61,,0.19,-0.01,0.47,0.48,0.11,0.37,0.34,2.0,1.44,1.86,5.54,2.93,0.78,4.18,9.72,0.97,0.92,2.63,2.13,2.2,4.83,4.89,4.83,0.51,-0.45,-0.2,-0.14
00080067,消费品第068号公司,消费品,2022,8.93,6.31,0.49,0.75,0.1,0.23,0.12,0.93,0.89,0.24,0.64,0.61,1.25,1.33,0.89,4.0,3.46,0.67,4.42,8.42,0.97,0.98,2.28,1.97,1.91,4.19,4.24,4.06,0.66,-0.46,-0.27,-0.07
00080067,消费品第068号公司,消费品,2023,8.3,6.57,0.33,0.33,0.1,0.06,-0.05,0.96,0.97,0.23,0.74,0.64,1.06,0.96,0.89,4.03,1.76,0.67,2.14,6.17,0.85,1.07,2.37,0.49,0.7,3.06,3.1,2.94,0.8,-0.05,-0.21,0.54
00080068,消费品第069号公司,消费品,2019,11.995,3.98,0.15,0.2,0.06,0.11,-0.05,0.55,0.54,0.13,0.41,0.39,0.65,0.76,0.6,2.68,1.57,0.32,2.03,4.71,0.49,0.62,1.09,1.1,0.97,2.06,2.65,2.48,0.55,,-0.08,0.16
00080068,消费品第069号公司,消费品,2020,4.54,3.8,0.32,0.24,0.06,0.09,0.06,-0.03,-0.03,0.0,-0.03,-0.03,0.92,0.86,0.6,2.82,1.49,0.56,2.33,5.15,0.83,0.61,1.5,0.73,0.75,2.25,2.89,2.67,,,0.23,0.08
00080068,消费品第069号公司,消费品,2021,5.19,4.41,0.25,0.33,0.06,0.08,0.1,-0.04,-0.05,0.0,-0.05,-0.04,0.97,0.9,0.66,2.64,1.49,0.45,2.49,5.13,0.65,0.64,1.75,0.3,0.49,2.24,2.88,2.64,-0.05,-0.24,0.11,-0.19
00080068,消费品第069号公司,消费品,2022,5.18,2.89,0.3,0.39,0.07,0.1,0.09,1.34,1.33,0.32,1.01,0.98,0.97,0.87,0.58,2.56,1.61,0.29,2.29,4.85,0.43,0.54,1.33,0.7,0.8,2.13,2.73,2.7,0.91,-0.33,-0.11,0.46
00080068,消费品第069号公司,消费品,2023,5.34,4.25,0.34,0.4,,0.12,0.0,0.17,0.17,0.04,0.12,0.11,0.97,0.47,0.7,2.6,1.71,0.49,2.6,5.2,0.31,0.61,1.27,0.73,1.01,2.28,2.73,2.83,-0.01,-0.28,,-0.53
00080069,消费品第070号公司,消费品,2019,7.12,4.12,0.4,0.38,0.15,0.12,-0.06,2.01,1.95,0.52,1.42,1.2,0.61,0.85,0.45,2.13,1.99,0.23,2.56,4.7,0.78,0.55,1.23,0.98,0.76,1.98,2.71,2.57,1.55,-0.41,-0.18,0.96
00080069,消费品第070号公司,消费品,2020,8.16,5.4,0.52,0.68,0.24,0.11,-0.06,1.28,1.27,0.29,0.97,0.93,0.57,0.43,1.46,2.74,2.01,0.3,2.59,5.34,0.57,1.13,1.46,0.98,0.8,2.25,3.08,3.06,1.05,-0.29,-0.61,0.15
